,Ticker
6,GJS
7,GSTEEL
8,INOX
9,LHK
10,MCS
11,MILL
12,PAP
13,PERM
14,SAM
15,SMIT
16,SSSC
17,TGPRO
18,THE
19,TMT
20,TSTH
21,TWP
22,TYCN
0,CCP
1,COTTO
2,DCC
3,DCON
4,DRT
5,EPG
6,GEL
7,PPP
8,Q-CON
9,SCC
10,SCCC
11,SCP
12,SKN
13,STECH
14,TASCO
15,TOA
16,TPIPL
17,UMI
18,VNG
19,WIIK
0,APCS
1,BJCHI
2,BKD
3,CIVIL
4,CK
5,CNT
6,EMC
7,ITD
8,NWR
9,PLE
10,PREB
11,PYLON
12,RT
13,SEAFCO
14,SQ
15,SRICHA
16,STEC
17,STI
18,STPI
19,SYNTEC
20,TEAMG
21,TEKA
22,TPOLY
23,TRC
24,TRITN
25,TTCL
26,UNIQ
27,WGE
0,AIMCG
1,AIMIRT
2,ALLY
3,AMATAR
4,B-WORK
5,BAREIT
6,BKKCP
7,BOFFICE
8,CPNCG
9,CPNREIT
10,CPTGF
11,CTARAF
12,DREIT
13,ERWPF
14,FTREIT
15,FUTUREPF
16,GAHREIT
17,GROREIT
18,GVREIT
19,HPF
20,HYDROGEN
21,IMPACT
22,INETREIT
23,KPNPF
24,KTBSTMR
25,LHHOTEL
26,LHPF
27,LHSC
28,LPF
29,LUXF
30,M-II
31,M-PAT
32,M-STOR
33,MIPF
34,MIT
35,MJLF
36,MNIT
37,MNIT2
38,MNRF
39,POPF
40,PPF
41,PROSPECT
42,QHHR
43,QHOP
44,QHPF
45,SHREIT
46,SIRIP
47,SPRIME
48,SRIPANWA
49,SSPF
50,SSTRT
51,TIF1
52,TLHPF
53,TNPF
54,TPRIME
55,TTLPF
56,TU-PF
57,URBNPF
58,WHABT
59,WHAIR
60,WHART
0,A
1,AMATA
2,AMATAV
3,ANAN
4,AP
5,APEX
6,AQ
7,ASW
8,AWC
9,BLAND
10,BRI
11,BROCK
12,CGD
13,CI
14,CMC
15,CPN
16,ESTAR
17,EVER
18,FPT
19,GLAND
20,J
21,JCK
22,KC
23,LALIN
24,LH
25,LPN
26,MBK
27,MJD
28,MK
29,NCH
30,NNCL
31,NOBLE
32,NUSA
33,NVD
34,ORI
35,PACE
36,PEACE
37,PF
38,PIN
39,PLAT
40,POLAR
41,PRECHA
42,PRIN
43,PSH
44,QH
45,RABBIT
46,RICHY
47,RML
48,ROJNA
49,S
50,SA
51,SAMCO
52,SC
53,SENA
54,SIRI
55,SPALI
56,UV
57,WHA
58,WIN
0,7UP
1,ACC
2,ACE
3,AGE
4,AI
5,AIE
6,AKR
7,BAFS
8,BANPU
9,BBGI
10,BCP
11,BCPG
12,BGRIM
13,BPP
14,BRRGIF
15,CKP
16,CV
17,DEMCO
18,EA
19,EASTW
20,EGATIF
21,EGCO
22,EP
23,ESSO
24,ETC
25,GPSC
26,GREEN
27,GULF
28,GUNKUL
29,IFEC
30,IRPC
31,JR
32,KBSPIF
33,LANNA
34,MDX
35,NOVA
36,OR
37,PCC
38,PRIME
39,PTG
40,PTT
41,PTTEP
42,QTC
43,RATCH
44,RPC
45,SCG
46,SCI
47,SCN
48,SGP
49,SKE
50,SOLAR
51,SPCG
52,SPRC
53,SSP
54,SUPER
55,SUPEREIF
56,SUSCO
57,TAE
58,TCC
59,TGE
60,TOP
61,TPIPP
62,TSE
63,TTW
64,UBE
65,WHAUP
66,WP
0,B52
1,BEAUTY
2,BIG
3,BJC
4,COM7
5,CPALL
6,CPW
7,CRC
8,CSS
9,DOHOME
10,FN
11,FTE
12,GLOBAL
13,HMPRO
14,ICC
15,ILM
16,IT
17,KAMART
18,LOXLEY
19,MAKRO
20,MC
21,MEGA
22,MIDA
23,MOSHI
24,RS
25,RSP
26,SABUY
27,SCM
28,SINGER
29,SPC
30,SPI
31,SVT
0,AHC
1,BCH
2,BDMS
3,BH
4,CHG
5,CMR
6,EKH
7,KDH
8,LPH
9,M-CHAI
10,NEW
11,NTV
12,PR9
13,PRINC
14,RAM
15,RJH
16,RPH
17,SKR
18,THG
19,VIBHA
20,VIH
21,WPH
0,AMARIN
1,AQUA
2,AS
3,BEC
4,FE
5,GPI
6,GRAMMY
7,JKN
8,MACO
9,MAJOR
10,MATCH
11,MATI
12,MCOT
13,MONO
14,MPIC
15,NATION
16,ONEE
17,PLANB
18,POST
19,PRAKIT
20,PTECH
21,SE-ED
22,TKS
23,VGI
24,WAVE
25,WORK
0,BWG
1,GENCO
2,PRO
3,SISB
4,SO
0,ASIA
1,BEYOND
2,CENTEL
3,CSR
4,DUSIT
5,ERW
6,GRAND
7,LRH
8,MANRIN
9,OHTL
10,ROH
11,SHANG
12,SHR
13,VRANDA
0,AAV
1,AOT
2,ASIMAR
3,B
4,BA
5,BEM
6,BIOTEC
7,BTS
8,BTSGIF
9,DMT
10,III
11,KEX
12,KIAT
13,KWC
14,MENA
15,NOK
16,NYT
17,PORT
18,PRM
19,PSL
20,RCL
21,SJWD
22,TFFIF
23,THAI
24,TSTE
25,TTA
26,WICE
0,CCET
1,DELTA
2,HANA
3,KCE
4,METCO
5,NEX
6,SMT
7,SVI
8,TEAM
0,ADVANC
1,AIT
2,ALT
3,AMR
4,BLISS
5,DIF
6,DTCENT
7,FORTH
8,HUMAN
9,ILINK
10,INET
11,INSET
12,INTUCH
13,ITEL
14,JAS
15,JASIF
16,JMART
17,JTS
18,MFEC
19,MSC
20,PT
21,SAMART
22,SAMTEL
23,SDC
24,SIS
25,SKY
26,SVOA
27,SYMC
28,SYNEX
29,THCOM
30,TKC
31,TRUE
32,TWZ
